link,video,utterance,transcript,start,end,arousal,valence,EmotionMaxVote,duration,encode
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_4.mp4,hi I'm fine,15.412683808758535,19.682864604258736,0.17009126740299998,-0.0236966881471,4,4.270180795500201,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_6.mp4,yeah I wasn't expecting you are to say hi quanah anything and I know what you're thinking what is a vampire doing here the AA meeting right and with a tan ,21.250821615106467,36.796948573724386,0.417668314388,0.292946929716,3,15.546126958617918,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_7.mp4,places in unhappy vampire can go for support,37.13055644837284,45.33731016472479,0.398645656332,0.325004309635,4,8.206753716351948,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_8.mp4,trying to convince me that I need it more self-esteem moral self-esteem I have a drinking problem but it's only because I have to because ,45.30394937725994,68.99010847730013,0.702572620318,0.013543570855299999,0,23.686159100040186,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_9.mp4,I don't know what happens anyway,69.59060265166733,75.42874045801527,0.34335730151199995,-0.33356076543499996,5,5.8381378063479445,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_10.mp4,handle on my drinking because it's bloody ,75.66226597026919,89.37354961832062,0.603970497823,-0.08537790076089999,0,13.711283648051435,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_12.mp4,BBC,95.74546002410608,98.94809562073122,0.4836010168330001,0.347528659204,3,3.202635596625143,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_13.mp4,trying to find me ways to put myself out there it's been kinda hard to meet people since I lost my job at the auction house ,99.48186822016875,109.22321815990357,0.436187637377,-0.024820310573900002,4,9.741349939734818,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_14.mp4,,109.990516271595,110.59101044596224,0.34478324691699996,-0.119610683215,3,0.6004941743672418,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_15.mp4,Buccaneer,110.92461832061069,112.42585375652872,0.29879489367600004,-0.0868819929356,3,1.5012354359180335,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_16.mp4,sorry that's that's depressing I think you meant to use everything ,112.792822418642,125.43656086781841,0.528364154705,0.135725164987,4,12.64373844917641,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_17.mp4,,125.87025110486137,126.50410606669344,0.21849335087900001,-0.0224143563493,4,0.6338549618320712,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_18.mp4,set alarm for one day,127.03787866613096,131.50822418642022,0.48961445289399996,-0.133296956032,1,4.470345520289257,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_19.mp4,I'm doing it my way,131.94191442346323,135.94520891924466,0.42914643565099997,-0.29522390602299997,2,4.003294495781432,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_20.mp4,weather for this weekend,136.14537364403373,145.18614704700684,0.713060923864,0.101011519934,0,9.040773402973116,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_21.mp4,Jason Donovan,145.48639413419045,148.35542185616708,0.392016068969,0.206028424758,4,2.869027721976636,25
https://www.youtube.com/watch?v=CROcsl0lIec,5b44393ed,utterance_22.mp4,,148.98927681799918,149.89001807955003,0.169643209147,-0.0016002229156400001,4,0.9007412615508485,25
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_1.mp4,,0.0,0.6662739322533137,0.101285536061,-0.345701782852,5,0.6662739322533137,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_2.mp4,,1.1659793814432988,2.831664212076583,0.0962556351496,-0.420727768781,5,1.665684830633284,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_3.mp4,I think I made a big mistake I'm afraid memories are as much,4.663917525773195,10.410530191458024,0.228971917322,-0.445180396573,5,5.746612665684829,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_4.mp4,my anime fans dear yours,10.493814432989687,13.575331369661267,0.192381891118,-0.259251286696,5,3.08151693667158,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_5.mp4,I'm,13.99175257731959,17.489690721649485,0.145036006893,-0.476546334832,5,3.497938144329895,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_6.mp4,I'm remembering something something I want to forget,18.07268041237113,22.986450662739326,0.154583118367,-0.391777381074,5,4.913770250368195,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_7.mp4,how are you,23.319587628865982,24.318998527245952,0.151967076644,-0.246855895592,5,0.9994108983799705,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_8.mp4,car accidents,24.485567010309282,25.734830633284243,0.0898174527755,-0.421217393561,5,1.2492636229749614,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_9.mp4,,26.23453608247423,26.9840942562592,0.0690685865169,-0.340806132908,5,0.7495581737849726,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_10.mp4,how is drag racing,27.40051546391752,29.649189985272454,0.124766413205,-0.34890805542,4,2.248674521354932,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_11.mp4,right right right over there,29.732474226804122,34.81281296023564,0.245231803394,-0.579282817077,1,5.0803387334315175,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_12.mp4,,36.14536082474226,39.643298969072156,0.19123157508400002,-0.682328613563,5,3.4979381443298934,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_13.mp4,came up on a curve,40.22628865979381,44.72363770250368,0.22422883923,-0.500522839808,5,4.497349042709871,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_14.mp4,,44.890206185566996,45.80633284241532,0.139232466799,-0.379475943489,5,0.9161266568483271,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_15.mp4,Oswestry Cheddar and down,46.056185567010296,54.051472754050074,0.380411277891,-0.437938268842,0,7.995287187039779,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_16.mp4,,54.2180412371134,54.96759941089838,0.189841282594,-0.304030650186,0,0.7495581737849832,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_17.mp4,,55.3840206185567,56.13357879234167,0.16845599029199998,-0.36638100826399994,0,0.7495581737849761,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_18.mp4,I should remember,56.55,60.54764359351988,0.4072379372860001,-0.45323176396000003,0,3.997643593519882,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_19.mp4,Emma's Diary,61.2139175257732,63.21273932253313,0.259271858125,-0.3795817540300001,0,1.998821796759934,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_20.mp4,,62.96288659793814,65.46141384388807,0.249470333277,-0.712417450416,5,2.49852724594993,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_21.mp4,don't remember please,65.87783505154638,69.54234167893962,0.195270009833,-0.658494302417,5,3.664506627393237,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_22.mp4,ok,69.95876288659794,70.7916053019146,0.289740101998,-0.443513133297,1,0.8328424153166623,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_23.mp4,Oral-B charger guilt guilt is a former memory why do I feel this way make it stop,71.12474226804125,79.95287187039764,0.59195435547,-0.505298746605,0,8.828129602356398,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_27.mp4,,85.69948453608247,87.61502209131075,0.130645092496,-0.512250961683,5,1.9155375552282834,80
https://www.youtube.com/watch?v=Zrx1BfbOysg,8c56c5ac5,utterance_28.mp4,I don't seem to be able to do anything my memories are like always my homeboy ,87.44845360824742,98.02555228276877,0.19493525091400002,-0.49903219336300003,5,10.577098674521352,80
https://www.youtube.com/watch?v=Y50P3WlXVDk,76eecf968,utterance_1.mp4,now we also have the December,0.0,3.12707182320442,0.12347956150699999,0.665830071665,3,3.12707182320442,76
https://www.youtube.com/watch?v=Y50P3WlXVDk,76eecf968,utterance_2.mp4,acting video contest and answer what you can do is perform some Shakespearean Centre,3.7941804788213633,12.258121546961323,0.17665898567899999,0.6507649529940001,4,8.46394106813996,76
https://www.youtube.com/watch?v=Y50P3WlXVDk,76eecf968,utterance_3.mp4,so you can perform with the friends sing the Black Friday when you can have one in the front room,12.54998158379374,19.179373848987108,0.0661572419192,0.682171496949,4,6.629392265193369,76
https://www.youtube.com/watch?v=Y50P3WlXVDk,76eecf968,utterance_4.mp4,one line from it,19.262762430939226,21.222394106814,0.089934732059,0.46122586622699996,4,1.9596316758747747,76
https://www.youtube.com/watch?v=Y50P3WlXVDk,76eecf968,utterance_5.mp4,you can do a dramatic reading script in here and all those things were acceptable,21.59764272559853,26.434180478821364,0.047091685937299996,0.617808544766,4,4.836537753222835,76
